SchemaName,ProcedureName,ParameterName,ParameterType,ParameterSize,IsOutput,IsRequired,DefaultValue
dbo,sp_api_action_as_stored_procedure,@actions_id,int,4,No,Yes,None
dbo,sp_api_action_as_stored_procedure,@test,bit,1,No,No,0
dbo,sp_api_action_as_stored_procedure,@error,nvarchar,MAX,Yes,No,None
dbo,sp_api_action_as_stored_procedure,@tablename,nvarchar,128,No,No,None
dbo,sp_api_action_to_slaves,@action_id,int,4,No,Yes,None
dbo,sp_api_actions_execute_main,@api_actions_id,int,4,No,Yes,None
dbo,sp_api_actions_execute_main,@card_name,nvarchar,128,No,No,None
dbo,sp_api_add_column,@table_name,nvarchar,128,No,Yes,None
dbo,sp_api_add_column,@card_id,int,4,No,Yes,None
dbo,sp_api_add_column_to_view,@card_id,int,4,No,Yes,None
dbo,sp_api_add_column_to_view,@new_column,nvarchar,128,No,Yes,None
dbo,sp_api_add_foreign_keys,@card_id,int,4,No,Yes,None
dbo,sp_api_add_sql_task,@sql,nvarchar,MAX,No,Yes,None
dbo,sp_api_add_sql_task,@start_at,datetime2,8,No,No,None
dbo,sp_api_add_sql_task,@seconds,int,4,No,No,None
dbo,sp_api_add_sql_task,@description,nvarchar,256,No,No,None
dbo,sp_api_add_sql_task,@repeat_task_in_seconds,int,4,No,No,None
dbo,sp_api_add_sql_task,@async,bit,1,No,No,None
dbo,sp_api_add_sql_task,@timeout_ms,int,4,No,No,None
dbo,sp_api_add_sql_task,@priority,int,4,No,No,None
dbo,sp_api_add_sql_task,@doNotRunSameTaskWithinSeconds,int,4,No,No,None
dbo,sp_api_add_sql_task,@on_error_sql,nvarchar,MAX,No,No,None
dbo,sp_api_add_sql_task,@delayDuplicateTask,bit,1,No,No,0
dbo,sp_api_add_sql_task,@task_id,int,4,Yes,No,None
dbo,sp_api_add_sql_task,@delete_after_success,bit,1,No,No,0
dbo,sp_api_add_sql_test_then_create,@sql,nvarchar,MAX,No,Yes,None
dbo,sp_api_add_sql_test_then_create,@table_name,nvarchar,128,No,Yes,None
dbo,sp_api_add_sql_test_then_create,@dropsql,nvarchar,MAX,No,Yes,None
dbo,sp_api_add_sql_test_then_create,@card_id,int,4,No,Yes,None
dbo,sp_api_add_sql_test_then_create,@column_name_to_view,nvarchar,128,No,No,None
dbo,sp_api_add_table_from_text,@text,nvarchar,MAX,No,Yes,None
dbo,sp_api_add_table_from_text,@prefix,nvarchar,32,No,No,
dbo,sp_api_add_table_from_text,@main,bit,1,No,No,1
dbo,sp_api_add_table_from_text,@database,nvarchar,128,No,No,None
dbo,sp_api_add_unique_index,@card_id,int,4,No,Yes,None
dbo,sp_api_backup,@database,nvarchar,128,No,No,None
dbo,sp_api_backup,@differential,bit,1,No,No,0
dbo,sp_api_backup,@now,bit,1,No,No,0
dbo,sp_api_backup,@username,nvarchar,128,No,No,None
dbo,sp_api_backup,@password,nvarchar,128,No,No,None
dbo,sp_api_backup,@drive,nvarchar,256,No,No,T
dbo,sp_api_backup,@backup_name,nvarchar,4000,Yes,No,None
dbo,sp_api_backup_all_and_clean_start,@headless,bit,1,No,No,0
dbo,sp_api_broker_request,@type,nvarchar,128,No,Yes,None
dbo,sp_api_broker_request,@json,nvarchar,MAX,No,Yes,None
dbo,sp_api_broker_request,@wait,int,4,No,No,3000
dbo,sp_api_broker_request,@dataout,nvarchar,MAX,Yes,No,None
dbo,sp_api_broker_request_linked_server,@id,int,4,No,Yes,None
dbo,sp_api_broker_request_linked_server,@wait,int,4,No,No,3000
dbo,sp_api_broker_request_linked_server,@idout,int,4,Yes,Yes,None
dbo,sp_api_broker_setup,@server,nvarchar,128,No,No,None
dbo,sp_api_broker_setup,@user,nvarchar,128,No,No,None
dbo,sp_api_broker_setup,@pass,nvarchar,128,No,No,None
dbo,sp_api_bulk_replace_actions,@search,nvarchar,MAX,No,Yes,
dbo,sp_api_bulk_replace_actions,@replace,nvarchar,MAX,No,Yes,
dbo,sp_api_bulk_replace_templates,@search,nvarchar,MAX,No,No,N'troost'
dbo,sp_api_bulk_replace_templates,@replace,nvarchar,MAX,No,No,N'Demo'
dbo,sp_api_bulk_translate,@from_lang,nvarchar,128,No,Yes,None
dbo,sp_api_bulk_translate,@to_lang,nvarchar,128,No,Yes,None
dbo,sp_api_bulk_translate,@json,nvarchar,MAX,Yes,Yes,None
dbo,sp_api_carbone,@json,nvarchar,MAX,No,Yes,None
dbo,sp_api_carbone,@template_file,nvarchar,4000,No,No,N'invoice.docx'
dbo,sp_api_card_action_as_stored_procedure,@card_actions_id,int,4,No,Yes,None
dbo,sp_api_card_action_as_stored_procedure,@test,bit,1,No,No,0
dbo,sp_api_card_action_as_stored_procedure,@error,nvarchar,MAX,Yes,No,None
dbo,sp_api_card_actions,@card_id,int,4,No,Yes,None
dbo,sp_api_card_actions,@tablename,nvarchar,128,No,Yes,None
dbo,sp_api_card_actions,@basetable,nvarchar,128,No,Yes,None
dbo,sp_api_card_actions,@edit,nvarchar,128,No,Yes,None
dbo,sp_api_card_actions,@id,nvarchar,32,No,Yes,None
dbo,sp_api_card_actions,@is_new,bit,1,No,Yes,None
dbo,sp_api_card_actions,@is_valid,bit,1,No,Yes,None
dbo,sp_api_card_actions,@parent_id,int,4,No,Yes,None
dbo,sp_api_card_actions,@listview,bit,1,No,Yes,None
dbo,sp_api_card_actions,@path,nvarchar,4000,No,Yes,None
dbo,sp_api_card_actions,@is_picklist,bit,1,No,Yes,None
dbo,sp_api_card_actions,@crud_create,nvarchar,MAX,No,Yes,None
dbo,sp_api_card_actions_execute,@card_id,int,4,No,Yes,None
dbo,sp_api_card_actions_execute,@id,int,4,No,Yes,None
dbo,sp_api_card_actions_execute,@tablename,nvarchar,128,No,Yes,None
dbo,sp_api_card_actions_execute,@basetable,nvarchar,128,No,Yes,None
dbo,sp_api_card_actions_execute,@identity_column,nvarchar,1024,No,Yes,None
dbo,sp_api_card_actions_execute,@parent_card_id,int,4,No,Yes,None
dbo,sp_api_card_actions_execute,@parent_id,int,4,No,Yes,None
dbo,sp_api_card_actions_execute,@path,nvarchar,4000,No,Yes,None
dbo,sp_api_card_actions_execute,@is_new,int,4,No,Yes,None
dbo,sp_api_card_actions_execute,@action_name,nvarchar,128,No,No,None
dbo,sp_api_card_actions_execute,@is_picklist,int,4,No,No,0
dbo,sp_api_card_actions_execute,@fieldname,nvarchar,128,No,No,None
dbo,sp_api_card_actions_execute,@picklist_type,smallint,2,No,No,0
dbo,sp_api_card_actions_execute,@prevpath,nvarchar,4000,No,No,None
dbo,sp_api_card_actions_execute,@reducer,nvarchar,MAX,No,No,
dbo,sp_api_card_actions_execute,@parent_reducer,nvarchar,MAX,No,No,
